Longitude,Latitude,Pixel,Scan
22.579871,-70.5283286,3700,300
22.5827865,-70.5282562,3800,300
22.5857027,-70.5281837,3900,300
22.5886197,-70.5281112,4000,300
22.5915375,-70.5280387,4100,300
22.594456,-70.527966,4200,300
22.5973753,-70.5278933,4300,300
22.6002954,-70.5278206,4400,300
22.6032162,-70.5277477,4500,300
22.6061378,-70.5276748,4600,300
22.6090602,-70.5276018,4700,300
22.6119833,-70.5275288,4800,300
22.6149072,-70.5274557,4900,300
22.6178319,-70.5273825,5000,300
22.6207573,-70.5273093,5100,300
22.6236835,-70.527236,5200,300
22.6266104,-70.5271626,5300,300
22.6295382,-70.5270892,5400,300
22.6324666,-70.5270157,5500,300
22.6353959,-70.5269421,5600,300
22.6383259,-70.5268685,5700,300
22.6412567,-70.5267948,5800,300
22.6441883,-70.526721,5900,300
22.6471206,-70.5266472,6000,300
22.6500537,-70.5265733,6100,300
22.6529876,-70.5264993,6200,300
22.6559222,-70.5264252,6300,300
22.6588576,-70.5263511,6400,300
22.6617938,-70.526277,6500,300
22.6647308,-70.5262027,6600,300
22.6676685,-70.5261284,6700,300
22.670607,-70.526054,6800,300
22.6735462,-70.5259796,6900,300
22.6764863,-70.5259051,7000,300
22.6794271,-70.5258305,7100,300
22.6823687,-70.5257558,7200,300
22.685311,-70.5256811,7300,300
22.6882542,-70.5256064,7400,300
22.6911981,-70.5255315,7500,300
22.6941428,-70.5254566,7600,300
22.6970882,-70.5253816,7700,300
22.7000344,-70.5253065,7800,300
22.7029814,-70.5252314,7900,300
22.7059292,-70.5251562,8000,300
22.7088778,-70.525081,8100,300
22.7118271,-70.5250057,8200,300
22.7147772,-70.5249303,8300,300
22.7177281,-70.5248548,8400,300
22.7206798,-70.5247793,8500,300
22.7236322,-70.5247037,8600,300
22.7265855,-70.524628,8700,300
22.7295395,-70.5245523,8800,300
22.7324942,-70.5244765,8900,300
22.7354498,-70.5244006,9000,300
22.7384061,-70.5243246,9100,300
22.7413632,-70.5242486,9200,300
22.7443211,-70.5241726,9300,300
22.7472798,-70.5240964,9400,300
22.7502393,-70.5240202,9500,300
22.7531995,-70.5239439,9600,300
22.7561605,-70.5238676,9700,300
22.7591224,-70.5237911,9800,300
22.7620849,-70.5237147,9900,300
22.7650483,-70.5236381,10000,300
22.7680125,-70.5235615,10100,300
22.7709774,-70.5234848,10200,300
22.7739431,-70.523408,10300,300
22.7769096,-70.5233312,10400,300
22.7798769,-70.5232543,10500,300
22.782845,-70.5231773,10600,300
22.7858138,-70.5231002,10700,300
22.7887835,-70.5230231,10800,300
22.7917539,-70.5229459,10900,300
22.7947251,-70.5228687,11000,300
22.7976971,-70.5227914,11100,300
22.8006699,-70.522714,11200,300
22.8036435,-70.5226365,11300,300
22.8066179,-70.522559,11400,300
22.809593,-70.5224814,11500,300
22.812569,-70.5224037,11600,300
22.8155457,-70.522326,11700,300
22.8185232,-70.5222482,11800,300
22.8215015,-70.5221703,11900,300
22.8244508,-70.5220931,11999,300
22.4727206,-70.5318571,0,400
22.4756082,-70.5317871,100,400
22.4784966,-70.5317171,200,400
22.4813858,-70.531647,300,400
22.4842757,-70.5315768,400,400
22.4871664,-70.5315066,500,400
22.4900578,-70.5314363,600,400
22.4929499,-70.531366,700,400
22.4958428,-70.5312956,800,400
22.4987365,-70.5312251,900,400
22.5016309,-70.5311545,1000,400
22.5045261,-70.5310839,1100,400
22.507422,-70.5310132,1200,400
22.5103187,-70.5309425,1300,400
22.5132161,-70.5308717,1400,400
22.5161143,-70.5308008,1500,400
22.5190132,-70.5307299,1600,400
22.5219129,-70.5306589,1700,400
22.5248134,-70.5305878,1800,400
22.5277146,-70.5305167,1900,400
22.5306165,-70.5304455,2000,400
22.5335192,-70.5303742,2100,400
22.5364227,-70.5303029,2200,400
22.5393269,-70.5302315,2300,400
22.5422319,-70.5301601,2400,400
22.5451377,-70.5300885,2500,400
22.5480442,-70.530017,2600,400
22.5509514,-70.5299453,2700,400
22.5538594,-70.5298736,2800,400
22.5567682,-70.5298018,2900,400
22.5596777,-70.5297299,3000,400
22.562588,-70.529658,3100,400
22.5654991,-70.529586,3200,400
22.5684109,-70.529514,3300,400
22.5713235,-70.5294419,3400,400
22.5742368,-70.5293697,3500,400
22.5771509,-70.5292975,3600,400
22.5800658,-70.5292251,3700,400
22.5829814,-70.5291528,3800,400
22.5858977,-70.5290803,3900,400
22.5888149,-70.5290078,4000,400
22.5917328,-70.5289352,4100,400
22.5946515,-70.5288626,4200,400
22.5975709,-70.5287899,4300,400
22.6004911,-70.5287171,4400,400
22.603412,-70.5286443,4500,400
22.6063338,-70.5285714,4600,400
22.6092562,-70.5284984,4700,400
22.6121795,-70.5284253,4800,400
22.6151035,-70.5283522,4900,400
22.6180283,-70.5282791,5000,400
22.6209538,-70.5282058,5100,400
22.6238802,-70.5281325,5200,400
22.6268072,-70.5280591,5300,400
22.6297351,-70.5279857,5400,400
22.6326637,-70.5279122,5500,400
22.6355931,-70.5278386,5600,400
22.6385232,-70.527765,5700,400
22.6414542,-70.5276913,5800,400
22.6443858,-70.5276175,5900,400
22.6473183,-70.5275437,6000,400
22.6502515,-70.5274697,6100,400
22.6531855,-70.5273958,6200,400
22.6561203,-70.5273217,6300,400
22.6590558,-70.5272476,6400,400
22.6619921,-70.5271734,6500,400
22.6649292,-70.5270992,6600,400
22.6678671,-70.5270249,6700,400
22.6708057,-70.5269505,6800,400
22.6737451,-70.5268761,6900,400
22.6766852,-70.5268015,7000,400
22.6796262,-70.526727,7100,400
22.6825679,-70.5266523,7200,400
22.6855104,-70.5265776,7300,400
22.6884536,-70.5265028,7400,400
22.6913977,-70.5264279,7500,400
22.6943425,-70.526353,7600,400
22.6972881,-70.526278,7700,400
22.7002344,-70.526203,7800,400
22.7031816,-70.5261279,7900,400
22.7061295,-70.5260527,8000,400
22.7090782,-70.5259774,8100,400
22.7120276,-70.5259021,8200,400
22.7149779,-70.5258267,8300,400
22.7179289,-70.5257512,8400,400
22.7208807,-70.5256757,8500,400
22.7238332,-70.5256001,8600,400
22.7267866,-70.5255244,8700,400
22.7297407,-70.5254487,8800,400
22.7326956,-70.5253729,8900,400
22.7356513,-70.525297,9000,400
22.7386078,-70.525221,9100,400
22.741565,-70.525145,9200,400
22.744523,-70.5250689,9300,400
22.7474819,-70.5249928,9400,400
22.7504414,-70.5249166,9500,400
22.7534018,-70.5248403,9600,400
22.756363,-70.5247639,9700,400
22.7593249,-70.5246875,9800,400
22.7622876,-70.524611,9900,400
22.7652511,-70.5245344,10000,400
22.7682154,-70.5244578,10100,400
22.7711805,-70.5243811,10200,400
22.7741463,-70.5243043,10300,400
22.7771129,-70.5242275,10400,400
22.7800804,-70.5241506,10500,400
22.7830486,-70.5240736,10600,400
22.7860175,-70.5239966,10700,400
22.7889873,-70.5239195,10800,400
22.7919579,-70.5238423,10900,400
22.7949292,-70.523765,11000,400
22.7979014,-70.5236877,11100,400
22.8008743,-70.5236103,11200,400
22.803848,-70.5235328,11300,400
22.8068225,-70.5234553,11400,400
22.8097978,-70.5233777,11500,400
22.8127738,-70.5233,11600,400
22.8157507,-70.5232223,11700,400
22.8187283,-70.5231445,11800,400
22.8217068,-70.5230666,11900,400
22.8246562,-70.5229894,11999,400
22.4729108,-70.5327538,0,500
22.4757985,-70.5326838,100,500
22.4786871,-70.5326138,200,500
22.4815763,-70.5325437,300,500
22.4844664,-70.5324735,400,500
22.4873572,-70.5324033,500,500
22.4902487,-70.532333,600,500
22.493141,-70.5322627,700,500
22.496034,-70.5321922,800,500
22.4989278,-70.5321218,900,500
22.5018223,-70.5320512,1000,500
22.5047176,-70.5319806,1100,500
22.5076137,-70.5319099,1200,500
22.5105105,-70.5318392,1300,500
22.513408,-70.5317684,1400,500
22.5163064,-70.5316975,1500,500
22.5192054,-70.5316265,1600,500
22.5221052,-70.5315555,1700,500
22.5250058,-70.5314845,1800,500
22.5279071,-70.5314133,1900,500
22.5308092,-70.5313421,2000,500
22.5337121,-70.5312709,2100,500
22.5366157,-70.5311995,2200,500
22.53952,-70.5311282,2300,500
22.5424251,-70.5310567,2400,500
22.545331,-70.5309852,2500,500
22.5482376,-70.5309136,2600,500
22.551145,-70.5308419,2700,500
22.5540531,-70.5307702,2800,500
22.556962,-70.5306984,2900,500
22.5598717,-70.5306265,3000,500
22.5627821,-70.5305546,3100,500
22.5656933,-70.5304826,3200,500
22.5686052,-70.5304106,3300,500
22.5715179,-70.5303385,3400,500
22.5744314,-70.5302663,3500,500
22.5773456,-70.530194,3600,500
22.5802606,-70.5301217,3700,500
22.5831763,-70.5300493,3800,500
22.5860928,-70.5299769,3900,500
22.5890101,-70.5299044,4000,500
22.5919281,-70.5298318,4100,500
22.5948469,-70.5297592,4200,500
22.5977665,-70.5296864,4300,500
22.6006868,-70.5296137,4400,500
22.6036079,-70.5295408,4500,500
22.6065297,-70.5294679,4600,500
22.6094523,-70.5293949,4700,500
22.6123757,-70.5293219,4800,500
22.6152999,-70.5292488,4900,500
22.6182248,-70.5291756,5000,500
22.6211504,-70.5291024,5100,500
22.6240769,-70.529029,5200,500
22.6270041,-70.5289557,5300,500
22.6299321,-70.5288822,5400,500
22.6328608,-70.5288087,5500,500
22.6357903,-70.5287351,5600,500
22.6387206,-70.5286615,5700,500
22.6416516,-70.5285878,5800,500
22.6445835,-70.528514,5900,500
22.647516,-70.5284402,6000,500
22.6504494,-70.5283662,6100,500
22.6533835,-70.5282923,6200,500
22.6563184,-70.5282182,6300,500
22.6592541,-70.5281441,6400,500
22.6621905,-70.5280699,6500,500
22.6651277,-70.5279957,6600,500
22.6680657,-70.5279214,6700,500
22.6710044,-70.527847,6800,500
22.673944,-70.5277725,6900,500
22.6768843,-70.527698,7000,500
22.6798253,-70.5276234,7100,500
22.6827672,-70.5275488,7200,500
22.6857098,-70.527474,7300,500
22.6886532,-70.5273992,7400,500
22.6915973,-70.5273244,7500,500
22.6945423,-70.5272495,7600,500
22.697488,-70.5271745,7700,500
22.7004345,-70.5270994,7800,500
22.7033817,-70.5270243,7900,500
22.7063297,-70.5269491,8000,500
22.7092786,-70.5268738,8100,500
22.7122282,-70.5267985,8200,500
22.7151785,-70.5267231,8300,500
22.7181297,-70.5266476,8400,500
22.7210816,-70.5265721,8500,500
22.7240343,-70.5264965,8600,500
